client1,client2,value1,time
892563469004574720,546327918435893248,6.6,2023-06-13 05:07:19.692761-04:00
868241768787869726,892563469004574720,16.5,2023-06-20 11:16:08.798568-04:00
868241768787869726,745075877418631339,6.6,2023-06-13 05:09:50.161721-04:00
868241768787869726,546327918435893248,82.5,2023-06-18 04:26:59.618644-04:00
576962723540369454,875652932287209522,16.5,2023-06-18 12:03:44.014018-04:00
447529942088024075,911413267526742076,16.5,2023-06-22 23:21:41.927713-04:00
966828978772000788,904728071360368640,6.6,2023-06-13 05:49:48.379325-04:00
868241768787869726,992677568119586926,16.5,2023-06-19 03:36:09.475506-04:00
868241768787869726,420882722425143298,214.8,2023-06-22 18:40:17.891317-04:00
522654151012909059,1007081691535392848,6.6,2023-06-13 06:02:54.088746-04:00
491771607723802646,546327918435893248,6.6,2023-06-13 06:27:53.970768-04:00
491771607723802646,993515826684637196,6.6,2023-06-13 06:27:53.975745-04:00
428451817635053569,408807253991227394,6.6,2023-06-13 06:29:38.718238-04:00
625187840837287937,293083660285116417,6.6,2023-06-13 06:55:27.762457-04:00
625187840837287937,817651476092026882,16.5,2023-06-20 05:15:59.881981-04:00
966828978772000788,420882722425143298,13.2,2023-06-17 04:26:01.856862-04:00
480561103068200990,520191900112650240,6.6,2023-06-13 07:06:42.460765-04:00
367170245087199232,326142376542470144,6.6,2023-06-13 07:19:05.079625-04:00
428451817635053569,977953361401905172,6.6,2023-06-13 07:41:38.008181-04:00
576962723540369454,1099135223247147143,184.8,2023-06-22 22:45:47.444228-04:00
576962723540369454,866223309736509471,6.6,2023-06-13 07:53:16.705000-04:00
428451817635053569,904728071360368640,6.6,2023-06-13 08:28:51.892136-04:00
428451817635053569,703568681770287104,6.6,2023-06-13 08:33:23.656864-04:00
483479904873218059,751546017937096704,6.6,2023-06-13 08:38:15.661192-04:00
483479904873218059,548273887683674132,6.6,2023-06-13 08:38:15.668213-04:00
637754336201408532,387047726614839297,6.6,2023-06-13 10:42:45.312332-04:00
576962723540369454,753544412264398890,6.6,2023-06-13 10:44:43.638936-04:00
576962723540369454,1081508952694595627,6.6,2023-06-13 10:44:43.643679-04:00
592195271849410560,277648723696156673,6.6,2023-06-13 11:00:18.573459-04:00
993316712248266863,1049878480424284233,6.6,2023-06-13 12:05:17.035561-04:00
993316712248266863,977953361401905172,6.6,2023-06-13 12:05:17.040645-04:00
445318809004408832,543851751690993675,16.5,2023-06-22 19:34:59.412509-04:00
799885323982340146,1076794184914194463,6.6,2023-06-13 13:01:50.643200-04:00
456034249204826124,740093719847501886,112.5,2023-06-13 13:29:37.484204-04:00
456034249204826124,1073528163503702017,6.6,2023-06-13 13:52:33.725354-04:00
456034249204826124,408807253991227394,6.6,2023-06-13 13:52:33.731464-04:00
456034249204826124,1030143362994544733,6.6,2023-06-13 13:52:33.736650-04:00
456034249204826124,249285273043599360,13.2,2023-06-16 21:24:26.738732-04:00
456034249204826124,868241768787869726,33.0,2023-06-19 19:11:33.571052-04:00
753334993241112635,522654151012909059,6.6,2023-06-13 14:00:09.832493-04:00
491771607723802646,1020198142198681610,6.6,2023-06-13 14:27:29.975205-04:00
952388162150367322,854422981858426938,6.6,2023-06-13 15:06:32.639036-04:00
447529942088024075,327632995827843072,6.6,2023-06-13 15:14:23.665208-04:00
422207359662817300,904762191570427925,6.6,2023-06-13 15:44:43.546611-04:00
428451817635053569,537704694001434624,6.6,2023-06-13 15:58:35.035244-04:00
308751100209528833,1082862800306704406,6.6,2023-06-13 16:32:42.552107-04:00
416383984864329758,275767588204707841,6.6,2023-06-13 16:41:19.121411-04:00
248780267815174165,377661680043425793,6.6,2023-06-13 17:38:52.946854-04:00
623902832164077580,259737210171949058,6.6,2023-06-13 17:42:19.382037-04:00
623902832164077580,745075877418631339,6.6,2023-06-13 17:42:19.387019-04:00
637754336201408532,906310897235009568,6.6,2023-06-13 18:12:47.727486-04:00
445318809004408832,369968450678030347,6.6,2023-06-13 18:16:28.298582-04:00
416383984864329758,490375121320542210,6.6,2023-06-13 18:18:18.719091-04:00
341997113393283093,428451817635053569,6.6,2023-06-13 18:32:58.350044-04:00
494316157864640519,604887159823925259,6.6,2023-06-13 18:33:32.250654-04:00
1099135223247147143,673512089582567435,6.6,2023-06-13 19:05:34.431684-04:00
664300862004527169,357665910498000898,66.0,2023-06-13 20:09:06.813404-04:00
664300862004527169,798013460336082957,6.6,2023-06-13 20:37:48.100973-04:00
664300862004527169,737413108775256135,6.6,2023-06-13 20:37:48.105531-04:00
944660312899088405,617923092412628993,6.6,2023-06-13 20:51:15.305769-04:00
944660312899088405,693219811194306581,6.6,2023-06-13 20:51:15.312320-04:00
944660312899088405,1099135223247147143,6.6,2023-06-13 20:51:15.319933-04:00
998814179874058240,259737210171949058,132.0,2023-06-13 21:22:07.694042-04:00
998814179874058240,249285273043599360,132.0,2023-06-13 21:22:07.699994-04:00
892702057465798667,1083870894465749203,6.6,2023-06-13 21:32:11.629954-04:00
134475358631231488,1070810378847662080,6.6,2023-06-13 22:01:27.694206-04:00
625187840837287937,283248919088201728,6.6,2023-06-13 22:05:05.009713-04:00
341997113393283093,838977217987739660,13.2,2023-06-13 22:48:46.703043-04:00
456034249204826124,745075877418631339,37.5,2023-06-13 23:12:38.361347-04:00
456034249204826124,418913384734523430,37.5,2023-06-13 23:12:38.366218-04:00
456034249204826124,858674961044340759,156.6,2023-06-16 23:17:06.415244-04:00
456034249204826124,223964665162629121,37.5,2023-06-13 23:12:38.375895-04:00
456034249204826124,769491336138719253,112.5,2023-06-13 23:13:15.248351-04:00
456034249204826124,730931090604163162,112.5,2023-06-13 23:13:15.253714-04:00
216922599379173378,341416131497820160,6.6,2023-06-13 23:23:01.071648-04:00
623902832164077580,854422981858426938,6.6,2023-06-13 23:55:23.692735-04:00
814194997686566942,754003072807731301,6.6,2023-06-14 00:15:45.702487-04:00
868241768787869726,1005988525218471966,6.6,2023-06-14 00:23:48.713960-04:00
868241768787869726,943873702183985162,6.6,2023-06-14 00:23:48.719924-04:00
868241768787869726,242437101893844992,6.6,2023-06-14 00:23:48.726267-04:00
952388162150367322,855511216767893504,6.6,2023-06-14 00:43:03.686609-04:00
952388162150367322,326142376542470144,6.6,2023-06-14 00:43:03.693254-04:00
966828978772000788,515316359337345027,13.2,2023-06-17 05:36:28.215794-04:00
799885323982340146,817651476092026882,6.6,2023-06-14 01:33:00.989542-04:00
734925361917198436,418913384734523430,6.6,2023-06-14 01:57:40.300991-04:00
